id,name,class_id,classification
0,もも貴族焼（たれ）,1,焼鳥
1,もも貴族焼（塩）,1,焼鳥
2,もも貴族焼（スパイス）,1,焼鳥
3,むね貴族焼（たれ）,1,焼鳥
4,むね貴族焼（塩）,1,焼鳥
5,むね貴族焼（スパイス）,1,焼鳥
6,三角（ぼんじり）,1,焼鳥
7,手羽先,1,焼鳥
8,つくね塩,1,焼鳥
9,ささみ,1,焼鳥
10,ハート塩 -ガーリック入-,1,焼鳥
11,砂ずり（砂肝）,1,焼鳥
12,かわ塩,1,焼鳥
13,やげんなんこつ,1,焼鳥
14,ひざなんこつ,1,焼鳥
15,せせり -ガーリック入-,1,焼鳥
16,みたれ（もも肉）,1,焼鳥
17,きも（レバー）,1,焼鳥
18,つくねチーズ焼,1,焼鳥
19,つくねたれ,1,焼鳥
20,かわたれ,1,焼鳥
21,ハートたれ,1,焼鳥
22,骨付まつばのスパイス焼,1,焼鳥
23,"ピーマン肉詰
-ポン酢味-",1,焼鳥
24,ささみわさび焼,1,焼鳥
25,むね肉明太マヨネーズ風焼,1,焼鳥
26,もちもちチーズ焼,1,焼鳥
27,牛串焼 -果実とにんにくの旨味-,1,焼鳥
28,豚バラ串焼,1,焼鳥
29,トリキの唐揚,2,逸品料理
30,ポテトフライ,2,逸品料理
31,北海道産和風ポテトさらだ【北海道産馬鈴薯(さやか)使用！】,2,逸品料理
32,よだれどり,2,逸品料理
33,粗挽ポークソーセージ串焼,2,逸品料理
34,チキン南蛮,2,逸品料理
35,カマンベールコロッケ,2,逸品料理
36,ひざなんこつ唐揚,2,逸品料理
37,ふんわり山芋の鉄板焼,2,逸品料理
38,超！白ねぎ塩こんぶ,3,スピードメニュー
39,"ホルモンねぎ盛ポン酢
【数量限定】",3,スピードメニュー
40,枝豆,3,スピードメニュー
41,国産大豆の冷やっこ,3,スピードメニュー
42,チャンジャ,3,スピードメニュー
43,親鶏炙り焼　-塩ポン酢味-,3,スピードメニュー
44,"キャベツ盛
【おかわり自由】",3,スピードメニュー
45,ピリ辛キューリ漬,3,スピードメニュー
46,味付煮玉子,3,スピードメニュー
47,とり釜飯,4,ご飯もの／デザート
48,とり雑炊,4,ご飯もの／デザート
49,焼とり丼,4,ご飯もの／デザート
50,カシスシャーベット,4,ご飯もの／デザート
51,黒蜜抹茶きな粉アイス,4,ご飯もの／デザート
52,メガハイボール（ジムビーム）,5,ドリンク
53,メガ金麦 ※ビール系飲料,5,ドリンク
54,ザ・プレミアム・モルツ,5,ドリンク
55,"ジムビームホワイト　／30ml
＜ロック／水割／ストレート＞",5,ドリンク
56,"角瓶　／30ml
＜ロック／水割／ストレート＞",5,ドリンク
57,"知多　／30ml
＜ロック／水割／ストレート＞",5,ドリンク
58,角ハイボール,5,ドリンク
59,知多ハイボール,5,ドリンク
60,"コーラハイ
＜ウイスキー＋コーラ＞",5,ドリンク
61,"ジンジャーハイ
＜ウイスキー＋ジンジャーエール＞",5,ドリンク
62,オールフリー（ノンアルコール）,5,ドリンク
63,大人のホットジンジャー,5,ドリンク
64,大人のジンジャーソーダ,5,ドリンク
65,大人のはちみつレモン,5,ドリンク
66,みかん,5,ドリンク
67,ラムネ,5,ドリンク
68,グレープフルーツ,5,ドリンク
69,レモン,5,ドリンク
70,ゆずはちみつ,5,ドリンク
71,緑茶ハイ（玄米入）,5,ドリンク
72,ウーロンハイ,5,ドリンク
73,"山崎蒸溜所貯蔵
焙煎樽仕込梅酒　／60ml",5,ドリンク
74," 
紀州の南高梅酒　／90ml",5,ドリンク
75,カシスミルク,5,ドリンク
76,カシスソーダ,5,ドリンク
77,カシスオレンジ,5,ドリンク
78,カシスウーロン,5,ドリンク
79,ピーチフィズ,5,ドリンク
80,ピーチウーロン,5,ドリンク
81,ファジーネーブル,5,ドリンク
82,カルーアミルク,5,ドリンク
83,"シャンディ・ガフ
＜ビール＋ジンジャーエール＞",5,ドリンク
84,トリキブラン（白）,5,ドリンク
85,トリキルージュ（赤）,5,ドリンク
86,サングリア（赤）,5,ドリンク
87,それから　／麦　90ml,5,ドリンク
88,吉兆宝山　／芋　60ml （熟成）,5,ドリンク
89,一刻者　／芋　60ml,5,ドリンク
90,鍛高譚　／しそ　90ml,5,ドリンク
91,松竹梅 豪快 純米酒＜カップ酒＞,5,ドリンク
92,"にごり杏露酒　／60ml
＜ロック／ソーダ割＞",5,ドリンク
93,"ジーマ
 ",5,ドリンク
94,ウーロン茶,5,ドリンク
95,ミックスジュース,5,ドリンク
96,オレンジジュース,5,ドリンク
97,ジンジャーエール,5,ドリンク
98,C.C.レモン,5,ドリンク
99,コーラ,5,ドリンク
100,ホットウーロン茶,5,ドリンク
101,キッズ・ウーロン茶,5,ドリンク
102,キッズ・ミックスジュース,5,ドリンク
103,キッズ・オレンジジュース,5,ドリンク
104,キッズ・ジンジャーエール,5,ドリンク
105,キッズ・C.C.レモン,5,ドリンク
106,キッズ・コーラ,5,ドリンク
